aX,aY,aZ,gX,gY,gZ
2.259,0.841,0.608,-106.018,-133.667,32.593
2.536,0.919,0.675,-121.826,-127.319,26.917
2.776,0.932,0.719,-130.981,-109.802,16.235
2.848,0.904,0.641,-138.672,-78.491,4.211
2.744,0.968,0.496,-148.926,-42.236,-8.057
2.521,1.012,0.366,-161.926,-12.512,-21.484
2.237,0.972,0.271,-179.687,3.235,-37.170
1.967,0.886,0.232,-201.904,2.258,-54.504
1.723,0.748,0.302,-221.252,-13.550,-70.618
1.527,0.545,0.498,-236.206,-34.180,-82.153
1.440,0.307,0.743,-250.183,-47.791,-90.393
1.411,0.028,1.002,-262.817,-51.270,-96.497
1.368,-0.277,1.562,-263.855,-47.546,-100.037
1.419,-0.628,1.250,-247.009,-45.105,-101.685
1.537,-0.772,1.352,-231.567,7.385,-106.323
1.430,-0.999,1.177,-211.426,33.081,-99.609
1.424,-1.152,1.001,-189.026,57.312,-94.910
1.364,-1.156,0.766,-168.518,71.960,-87.280
1.301,-1.123,0.516,-153.870,75.317,-71.594
1.238,-1.019,0.353,-152.283,71.106,-49.866
1.131,-0.947,0.278,-163.330,58.533,-25.391
1.091,-0.903,0.283,-171.448,39.185,-3.784
1.054,-0.853,0.367,-162.781,18.433,6.104
1.007,-0.828,0.589,-140.930,3.906,5.798
0.978,-0.920,0.804,-120.850,2.258,0.671
0.966,-1.034,0.933,-107.117,19.470,-7.935
0.902,-1.071,0.954,-86.609,42.847,-15.503
0.872,-1.118,0.899,-53.833,65.308,-17.517
0.864,-1.093,0.739,-24.841,83.435,-14.771
0.817,-1.008,0.598,-9.338,95.642,-5.920
0.711,-0.927,0.501,-4.150,96.069,5.005
0.695,-0.839,0.422,-3.906,84.351,14.954
0.722,-0.743,0.421,-5.249,68.787,21.729
0.718,-0.665,0.492,-8.362,52.124,26.001
0.694,-0.599,0.555,-13.977,36.499,28.503
0.683,-0.521,0.648,-19.714,26.367,28.564
0.678,-0.469,0.719,-23.926,23.743,27.283
0.667,-0.460,0.779,-26.123,28.259,25.330
0.685,-0.463,0.772,-22.888,34.180,23.682
0.706,-0.484,0.741,-12.146,37.048,21.301
0.707,-0.472,0.694,1.892,37.537,18.250
0.744,-0.430,0.611,10.559,38.452,14.954
0.737,-0.421,0.532,9.705,38.818,12.634
0.754,-0.401,0.439,3.113,37.964,11.841
0.778,-0.356,0.343,-0.427,35.034,11.230
0.818,-0.326,0.273,1.770,29.907,8.301
0.841,-0.288,0.222,4.944,23.193,4.578
0.862,-0.260,0.192,5.798,16.724,0.854
0.871,-0.254,0.191,4.944,11.719,-2.991
0.875,-0.269,0.212,4.700,8.606,-7.263
0.893,-0.297,0.241,6.714,6.714,-10.864
0.878,-0.312,0.255,8.850,5.798,-13.306
0.921,-0.350,0.252,10.254,7.690,-13.367
0.915,-0.355,0.245,8.667,11.047,-13.123
0.899,-0.327,0.206,7.385,13.489,-8.545
0.931,-0.321,0.182,5.920,15.930,-3.235
0.926,-0.274,0.164,0.305,13.123,-0.366
0.927,-0.225,0.140,-5.188,8.667,1.526
0.924,-0.199,0.110,-7.812,5.432,2.563
0.925,-0.176,0.094,-8.301,1.648,2.258
0.925,-0.159,0.098,-7.141,-1.587,0.000
0.915,-0.153,0.104,-6.104,-4.028,-3.052
0.908,-0.171,0.135,-5.066,-6.287,-6.958
0.902,-0.206,0.198,-3.784,-7.202,-10.193
0.896,-0.253,0.262,-2.319,-4.944,-11.658
2.043,1.267,-1.061,-12.756,-146.423,95.398
2.889,2.105,-0.660,-52.490,-169.983,149.292
3.603,2.968,0.189,-108.093,-178.955,174.011
4.000,3.555,1.062,-177.917,-157.837,153.687
4.000,3.773,1.619,-237.427,-99.182,82.581
4.000,3.517,2.087,-262.390,-25.085,-30.823
4.000,2.778,2.491,-260.925,48.035,-162.109
4.000,1.695,2.709,-255.493,123.108,-283.447
3.378,0.502,2.901,-258.545,190.735,-369.324
2.612,-0.584,2.949,-263.550,243.713,-411.072
1.942,-1.437,2.843,-260.193,279.907,-419.922
1.315,-2.042,2.624,-246.216,301.147,-410.950
0.766,-2.504,2.256,-223.877,315.063,-400.269
0.336,-2.902,1.781,-182.800,322.327,-399.536
-0.003,-3.125,1.261,-113.892,318.970,-403.137
-0.165,-3.225,0.859,-36.377,298.340,-394.592
-0.142,-3.377,0.562,20.264,263.550,-369.446
-0.189,-3.391,0.498,55.298,218.811,-331.421
-0.234,-3.364,0.632,84.412,166.870,-281.921
-0.320,-3.197,0.852,107.971,117.676,-227.234
-0.620,-2.941,1.121,126.282,73.486,-172.180
-0.874,-2.786,1.476,140.137,37.231,-118.103
-1.090,-2.524,1.688,148.560,17.395,-61.523
-1.251,-2.106,1.890,167.542,10.010,-9.277
-1.322,-1.664,2.025,201.477,0.916,25.879
-1.387,-1.234,1.923,244.995,-8.728,41.870
-1.463,-0.835,1.730,287.109,-22.644,45.105
-1.538,-0.523,1.580,312.744,-49.622,45.654
-1.633,-0.291,1.419,312.683,-86.914,53.406
-1.667,-0.127,1.315,291.626,-124.573,68.481
-1.637,-0.027,1.305,261.780,-157.349,82.092
-1.568,0.107,1.385,233.337,-180.664,94.421
-1.432,0.270,1.555,213.196,-182.922,102.600
-1.195,0.325,1.630,200.073,-159.668,104.187
-1.044,0.333,1.530,196.533,-119.995,103.638
-1.003,0.436,1.295,209.900,-84.778,103.760
-0.973,0.569,0.996,236.389,-65.247,98.572
-0.912,0.603,0.665,257.263,-58.289,87.891
-0.883,0.486,0.332,260.376,-63.721,74.280
-0.898,0.405,0.105,255.249,-81.360,63.477
-0.875,0.396,0.032,254.211,-110.291,61.340
-0.786,0.381,0.007,252.869,-146.851,64.270
-0.658,0.339,-0.067,241.638,-177.551,67.444
-0.545,0.439,-0.043,225.281,-200.562,72.021
-0.357,0.579,0.204,211.365,-221.558,78.369
-0.106,0.585,0.330,187.073,-225.159,85.876
-0.030,0.658,0.316,151.489,-214.966,99.304
0.032,0.892,0.222,129.578,-203.430,116.577
0.137,1.216,0.108,126.160,-194.397,129.395
0.191,1.523,-0.009,126.648,-192.200,132.935
0.205,1.839,-0.074,118.774,-196.106,130.066
0.223,2.059,-0.058,101.746,-209.106,119.202
0.397,2.164,0.169,76.477,-227.722,99.548
0.609,2.076,0.429,44.495,-237.732,75.745
0.743,1.983,0.631,13.062,-230.286,55.359
0.969,1.914,0.752,-9.460,-211.731,40.649
1.190,1.880,0.717,-26.855,-189.148,30.762
1.350,1.947,0.562,-45.349,-168.579,30.457
1.471,2.100,0.389,-72.388,-154.541,37.415
1.560,2.255,0.244,-111.450,-149.658,46.936
1.852,2.344,0.138,-158.936,-152.954,51.208
2.244,2.187,0.155,-200.378,-165.527,31.555
