aX,aY,aZ,gX,gY,gZ
-0.337,-0.366,-0.022,-102.234,-96.619,15.381
-0.309,-0.417,-0.064,-114.136,-99.426,17.578
-0.270,-0.468,-0.048,-125.122,-103.882,19.775
-0.212,-0.525,-0.016,-128.784,-110.291,18.250
-0.149,-0.581,0.000,-121.155,-117.981,11.292
-0.112,-0.676,-0.014,-102.600,-126.038,-1.770
-0.068,-0.781,-0.068,-83.069,-129.700,-16.235
-0.045,-0.874,-0.089,-71.411,-132.996,-24.597
0.016,-0.943,-0.057,-66.895,-136.963,-24.292
0.090,-1.009,0.009,-65.674,-138.855,-18.921
0.171,-1.075,0.118,-66.406,-139.465,-12.146
0.270,-1.101,0.209,-64.148,-140.747,-7.141
0.348,-1.099,0.245,-56.091,-141.724,-7.385
0.350,-1.102,0.256,-44.434,-142.456,-15.137
0.425,-1.112,0.201,-29.846,-143.555,-25.330
0.500,-1.118,0.081,-19.226,-145.081,-37.231
0.606,-1.165,-0.060,-12.817,-150.757,-54.077
0.863,-1.294,-0.132,-3.784,-161.438,-76.294
1.070,-1.535,-0.248,7.019,-173.096,-93.689
1.229,-1.824,-0.277,17.883,-172.974,-105.591
1.370,-2.102,-0.169,29.663,-173.401,-117.493
1.421,-2.362,-0.018,48.218,-182.617,-121.033
1.461,-2.549,0.185,69.824,-193.665,-111.084
1.581,-2.607,0.418,91.003,-201.416,-89.111
1.849,-2.540,0.633,110.413,-204.651,-62.378
2.262,-2.381,0.819,131.409,-202.759,-36.194
2.599,-2.158,0.980,156.738,-193.054,-10.925
2.902,-1.891,1.124,185.425,-176.025,13.000
3.170,-1.528,1.277,214.233,-158.386,38.879
3.304,-1.060,1.497,231.384,-140.564,73.120
3.427,-0.546,1.755,228.394,-116.882,111.755
3.450,0.010,2.021,218.628,-86.365,144.958
3.342,0.528,2.140,217.957,-53.711,162.659
3.141,0.934,2.068,228.333,-26.184,157.654
2.858,1.231,1.852,239.624,-2.319,138.733
2.489,1.487,1.594,239.807,24.902,124.023
2.157,1.734,1.279,225.769,53.772,122.620
1.874,1.997,0.987,195.618,75.439,133.362
1.672,2.237,0.867,156.067,88.562,143.372
1.513,2.437,0.808,123.047,100.098,140.137
1.341,2.511,0.695,102.783,109.924,117.310
1.187,2.411,0.605,88.867,113.770,76.965
1.015,2.161,0.546,80.933,107.422,27.832
0.841,1.842,0.477,80.078,92.834,-18.738
0.686,1.497,0.450,81.482,77.820,-55.420
0.517,1.206,0.429,83.618,66.956,-78.552
0.381,0.954,0.372,84.412,57.739,-82.886
0.290,0.763,0.399,75.989,48.279,-65.613
0.251,0.713,0.399,57.190,45.959,-27.527
0.245,0.793,0.399,31.616,48.035,18.433
0.253,0.931,0.356,9.644,49.255,53.894
0.274,1.016,0.285,-3.052,48.340,65.918
0.275,1.034,0.193,-7.324,44.128,53.833
0.261,0.955,0.097,-3.235,37.109,27.161
0.373,0.725,0.116,6.470,26.733,-2.991
0.343,0.507,0.133,16.968,-6.470,-34.241
0.417,0.336,0.207,28.381,-29.724,-51.270
0.494,0.207,0.329,34.729,-29.236,-53.284
0.527,0.143,0.407,33.569,-29.236,-39.917
0.610,0.167,0.445,26.306,-27.161,-15.259
0.691,0.244,0.478,15.076,-20.630,9.033
0.731,0.315,0.442,5.615,-14.893,23.010
0.760,0.359,0.357,2.502,-6.653,27.039
0.796,0.380,0.255,3.784,0.000,23.987
0.843,0.385,0.166,6.653,0.977,15.991
0.871,0.373,0.140,9.094,-4.761,4.944
0.900,0.348,0.135,10.986,-11.902,-3.357
0.940,0.330,0.138,12.756,-14.282,-7.446
1.697,-0.603,0.264,19.470,-25.391,8.728
1.879,-0.558,0.268,21.973,-10.498,26.978
2.054,-0.448,0.282,28.625,3.235,45.166
2.206,-0.271,0.286,42.358,15.381,63.599
2.359,-0.042,0.303,55.664,27.588,80.872
2.507,0.244,0.314,61.279,40.649,96.619
2.635,0.533,0.337,58.167,55.054,109.314
2.697,0.818,0.366,49.683,71.960,117.676
2.669,1.069,0.396,38.696,91.553,122.986
2.578,1.255,0.466,25.391,108.765,124.756
2.422,1.393,0.517,13.916,124.329,122.681
2.171,1.481,0.527,6.165,138.306,120.728
1.944,1.553,0.518,-4.578,150.940,119.263
1.709,1.591,0.525,-14.099,160.828,116.821
1.447,1.645,0.520,-21.729,167.358,113.525
1.194,1.707,0.477,-30.823,169.312,110.596
0.983,1.775,0.416,-46.509,168.457,110.901
0.824,1.823,0.410,-68.848,168.396,110.901
0.680,1.811,0.412,-89.233,166.748,105.164
0.537,1.747,0.432,-101.990,161.194,91.492
0.416,1.644,0.436,-106.628,152.710,71.533
0.296,1.503,0.414,-105.530,141.907,48.584
0.172,1.325,0.376,-101.440,126.892,28.625
0.063,1.155,0.338,-98.389,109.497,16.113
-0.015,1.014,0.332,-98.755,91.370,11.475
-0.091,0.886,0.310,-100.342,73.547,12.390
-0.149,0.792,0.302,-103.394,54.443,16.846
-0.181,0.700,0.339,-106.018,34.485,22.217
-0.202,0.653,0.450,-107.056,17.944,27.161
-0.215,0.634,0.559,-104.858,10.986,29.297
-0.250,0.589,0.618,-104.858,13.550,29.602
-0.302,0.530,0.635,-115.051,20.874,32.654
-0.327,0.447,0.603,-132.141,28.137,38.818
-0.326,0.369,0.495,-148.193,33.447,44.250
-0.318,0.326,0.382,-158.691,34.851,45.715
-0.318,0.268,0.287,-160.950,30.273,42.542
-0.292,0.222,0.220,-155.151,19.653,34.790
-0.255,0.172,0.217,-144.592,3.662,23.987
-0.199,0.129,0.284,-128.967,-14.099,9.827
-0.141,0.041,0.403,-107.178,-29.602,-5.554
-0.064,-0.038,0.504,-92.041,-38.025,-17.822
-0.003,-0.115,0.552,-94.482,-40.100,-21.729
0.043,-0.194,0.552,-109.192,-37.231,-14.648
0.089,-0.228,0.522,-126.709,-31.311,-2.319
0.133,-0.232,0.430,-139.099,-27.283,10.376
0.155,-0.203,0.317,-146.545,-25.879,21.973
0.184,-0.169,0.217,-148.926,-27.100,28.381
0.227,-0.140,0.119,-142.944,-32.532,26.306
0.256,-0.121,0.054,-129.944,-40.833,13.794
0.286,-0.133,0.033,-111.084,-48.645,-6.714
